competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202002;1;15;150140;C;1822901;1;766315;101;7;29;40,00;1;1;0;1;20;0;0;0;1039,00;3;0;1;202002;202301;1;0;5;1039,00
202002;3;35;350750;G;4721102;1;521140;101;7;30;44,00;1;1;0;1;20;0;0;0;1249,60;4;0;1;202002;202301;1;0;5;1249,60
202002;3;31;310620;P;8599604;-1;514110;101;7;33;44,00;3;1;0;1;40;0;0;0;1045,00;5;0;1;202002;202301;1;0;5;1045,00
202002;2;29;292740;F;4120400;1;411010;101;8;23;44,00;6;1;0;1;20;0;0;0;1045,00;4;0;1;202006;202301;1;1;5;1045,00
202002;5;52;521523;P;8512100;-1;331110;101;7;50;44,00;3;3;0;1;31;0;0;0;998,00;2;0;1;202010;202301;1;1;5;998,00
202002;3;35;354910;G;4789002;1;514305;101;7;45;45,00;1;3;0;1;20;0;0;0;1160,68;7;0;1;202002;202301;1;0;5;1160,68
202002;3;35;355030;G;4761003;1;521105;101;7;19;44,00;1;3;0;1;20;0;0;0;1461,20;5;0;1;202002;202301;1;0;5;1461,20
202002;4;42;420320;C;1099604;-1;414110;101;9;23;44,00;1;1;0;1;40;0;0;0;1400,00;6;0;1;202005;202301;1;1;5;1400,00
202002;5;52;520870;I;5611201;1;513205;101;7;23;44,00;6;1;0;1;20;0;0;0;1188,00;3;0;1;202002;202301;1;0;5;1188,00
202002;3;31;315150;G;4752100;1;521110;101;7;18;44,00;6;3;0;1;20;0;0;0;1134,65;1;0;1;202011;202301;1;1;5;1134,65
202003;1;15;150085;G;4771701;1;223405;101;9;34;44,00;1;3;0;1;20;0;0;0;1045,00;1;0;1;202003;202301;1;0;5;1045,00
202003;2;23;231270;G;4753900;1;782305;101;5;29;44,00;3;1;0;1;20;0;0;0;2090,00;1;0;1;202006;202301;1;1;5;2090,00
202003;5;52;520870;G;4530701;1;521110;101;6;59;44,00;1;1;0;1;20;0;0;0;3421,11;1;0;1;202003;202301;1;0;5;3421,11
202003;4;41;410480;M;7112000;1;715615;101;7;25;44,00;3;1;0;1;20;0;0;0;1168,20;2;0;1;202003;202301;1;0;1;5,31
202003;5;52;520870;G;4530701;1;411005;101;5;20;44,00;1;1;0;1;20;0;0;0;1045,00;1;0;1;202003;202301;1;0;5;1045,00
202003;5;50;500110;A;151201;1;999999;101;2;48;44,00;4;3;2;3;20;0;0;0;1111,00;1;0;1;202003;202301;1;0;5;1111,00
202003;3;31;314480;J;6202300;1;411005;101;9;27;44,00;3;3;0;1;20;0;0;0;1202,25;2;0;1;202003;202301;1;0;5;1202,25
202003;4;43;431690;F;4330404;1;716610;101;7;32;44,00;6;1;0;1;20;0;0;0;1541,80;1;0;1;202003;202301;1;0;5;1541,80
202003;5;52;520870;G;4530701;1;411005;101;7;18;44,00;1;1;0;1;20;0;0;0;1045,00;1;0;1;202003;202301;1;0;5;1045,00
202003;2;26;260680;H;4930203;1;715525;101;7;58;42,50;1;1;0;1;20;0;0;0;1479,72;4;0;1;202009;202301;1;1;5;1479,72
202003;3;33;330455;G;4641903;1;783210;101;7;18;44,00;3;1;0;1;20;0;0;0;1246,00;5;0;1;202003;202301;1;0;5;1246,00
202003;4;41;410690;N;8220200;-1;422310;101;9;33;36,00;6;3;0;1;31;0;0;0;1045,00;10;0;1;202003;202301;1;0;5;1045,00
